[05-Oct-2022 10:12:19 UTC] PHP Parse error:  syntax error, unexpected ':', expecting ';' or '{' in /home/myexamplace/public_html/all_website/agrioceanint/wp-content/plugins/redux-framework/class-redux-framework-plugin.php on line 76
[05-Oct-2022 10:12:19 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
[05-Oct-2022 10:12:19 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
[05-Oct-2022 10:12:20 UTC] PHP Parse error:  syntax error, unexpected ':', expecting ';' or '{' in /home/myexamplace/public_html/all_website/agrioceanint/wp-content/plugins/redux-framework/class-redux-framework-plugin.php on line 76
[05-Oct-2022 10:12:20 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
[05-Oct-2022 10:12:20 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
[05-Oct-2022 10:12:22 UTC] PHP Parse error:  syntax error, unexpected ':', expecting ';' or '{' in /home/myexamplace/public_html/all_website/agrioceanint/wp-content/plugins/redux-framework/class-redux-framework-plugin.php on line 76
[05-Oct-2022 10:12:22 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
[05-Oct-2022 10:12:22 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
[05-Oct-2022 10:12:23 UTC] PHP Parse error:  syntax error, unexpected ':', expecting ';' or '{' in /home/myexamplace/public_html/all_website/agrioceanint/wp-content/plugins/redux-framework/class-redux-framework-plugin.php on line 76
[05-Oct-2022 10:12:23 UTC] PHP Notice:  Function is_embed was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
[05-Oct-2022 10:12:23 UTC] PHP Notice:  Function is_search was called <strong>incorrectly</strong>. Conditional query tags do not work before the query is run. Before then, they always return false. Please see <a href="https://wordpress.org/support/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 3.1.0.) in /home/myexamplace/public_html/all_website/agrioceanint/wp-includes/functions.php on line 5832
